tracker_name,dataset_name,stage,run_id,conf,iou,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency 95 (ms),Peak VRAM (MB),track_high_thresh,track_buffer,match_thresh,Latency p95 (ms)
bytetrack,gmot,1,"conf:0.05,iou:0.5",0.05,0.5,17.294,17.488,22.679,24.75,3.875,33.75,86.2,11.84,17.0,672.4,,,,
bytetrack,gmot,1,"conf:0.05,iou:0.6",0.05,0.6,17.814,17.681,23.385,24.5,4.125,33.5,79.7,13.07,16.55,668.5,,,,
bytetrack,gmot,1,"conf:0.05,iou:0.7",0.05,0.7,17.376,17.611,22.627,25.5,4.375,33.5,84.6,12.36,15.15,621.0,,,,
bytetrack,avenue,2,track_high_thresh0.4_track_buffer20_match_thresh0.7,0.01,0.5,58.47,76.87,73.01,10.0,57.0,7.0,69.8,14.32,,435.8,0.4,20.0,0.7,16.42
bytetrack,avenue,2,track_high_thresh0.4_track_buffer20_match_thresh0.8,0.01,0.5,58.74,76.97,72.64,5.0,57.0,7.0,91.3,10.95,,513.9,0.4,20.0,0.8,15.94
bytetrack,avenue,2,track_high_thresh0.4_track_buffer20_match_thresh0.9,0.01,0.5,57.33,77.08,69.98,5.0,57.0,7.0,87.7,11.4,,570.9,0.4,20.0,0.9,16.63
bytetrack,avenue,2,track_high_thresh0.4_track_buffer30_match_thresh0.7,0.01,0.5,56.84,76.94,70.54,11.0,57.0,7.0,86.5,11.56,,158.6,0.4,30.0,0.7,17.15
bytetrack,avenue,2,track_high_thresh0.4_track_buffer30_match_thresh0.8,0.01,0.5,55.25,77.11,69.09,5.0,57.0,7.0,90.2,11.08,,213.4,0.4,30.0,0.8,16.82
bytetrack,avenue,2,track_high_thresh0.4_track_buffer30_match_thresh0.9,0.01,0.5,53.65,77.22,65.38,4.0,57.0,7.0,87.6,11.42,,288.7,0.4,30.0,0.9,17.07
bytetrack,avenue,2,track_high_thresh0.4_track_buffer40_match_thresh0.7,0.01,0.5,56.56,76.99,70.01,11.0,57.0,7.0,92.2,10.85,,335.8,0.4,40.0,0.7,16.76
bytetrack,avenue,2,track_high_thresh0.4_track_buffer40_match_thresh0.8,0.01,0.5,54.95,77.1,68.67,5.0,57.0,7.0,91.1,10.97,,412.7,0.4,40.0,0.8,17.06
bytetrack,avenue,2,track_high_thresh0.4_track_buffer40_match_thresh0.9,0.01,0.5,52.85,77.18,64.06,5.0,57.0,7.0,91.3,10.96,,468.9,0.4,40.0,0.9,16.71
bytetrack,avenue,2,track_high_thresh0.4_track_buffer60_match_thresh0.7,0.01,0.5,54.81,76.85,67.02,16.0,57.0,7.0,85.5,11.69,,158.6,0.4,60.0,0.7,17.13
bytetrack,avenue,2,track_high_thresh0.4_track_buffer60_match_thresh0.8,0.01,0.5,53.09,76.64,65.64,7.0,57.0,7.0,94.4,10.59,,213.4,0.4,60.0,0.8,16.73
bytetrack,avenue,2,track_high_thresh0.4_track_buffer60_match_thresh0.9,0.01,0.5,52.48,76.68,63.76,7.0,57.0,7.0,85.6,11.68,,288.7,0.4,60.0,0.9,17.05
bytetrack,avenue,2,track_high_thresh0.5_track_buffer20_match_thresh0.7,0.01,0.5,59.01,78.0,73.93,7.0,55.0,7.0,92.2,10.84,,335.8,0.5,20.0,0.7,17.09
bytetrack,avenue,2,track_high_thresh0.5_track_buffer20_match_thresh0.8,0.01,0.5,59.19,78.06,73.72,6.0,56.0,7.0,83.6,11.96,,412.7,0.5,20.0,0.8,17.12
bytetrack,avenue,2,track_high_thresh0.5_track_buffer20_match_thresh0.9,0.01,0.5,57.56,78.17,70.67,6.0,56.0,7.0,91.6,10.92,,468.9,0.5,20.0,0.9,16.81
bytetrack,avenue,2,track_high_thresh0.5_track_buffer30_match_thresh0.7,0.01,0.5,57.5,78.21,71.65,7.0,55.0,7.0,81.5,12.27,,158.6,0.5,30.0,0.7,16.05
bytetrack,avenue,2,track_high_thresh0.5_track_buffer30_match_thresh0.8,0.01,0.5,56.07,78.3,70.03,6.0,56.0,7.0,93.7,10.68,,213.4,0.5,30.0,0.8,16.57
bytetrack,avenue,2,track_high_thresh0.5_track_buffer30_match_thresh0.9,0.01,0.5,54.23,78.39,65.91,5.0,56.0,7.0,86.2,11.6,,288.7,0.5,30.0,0.9,16.29
bytetrack,avenue,2,track_high_thresh0.5_track_buffer40_match_thresh0.7,0.01,0.5,57.22,78.23,71.12,9.0,55.0,7.0,94.2,10.62,,335.8,0.5,40.0,0.7,16.19
