tracker_name,dataset_name,conf,iou,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency 95 (ms),Peak VRAM (MB)
deepsort,avenue,0.3,0.5,41.64,-2.55,54.55,29.0,66.0,6.0,20.2,49.41,64.57,1173.8
deepsort,UCSD,0.3,0.5,47.118,40.198,63.677,18.333,21.0,7.0,12.2,83.03,110.86,2387.1
deepsort,shanghai,0.3,0.5,46.457,-1.43,58.62,10.333,10.333,2.0,19.0,53.0,65.83,1787.6
deepsort,gmot,0.3,0.5,22.328,-211.825,21.819,192.75,15.25,12.625,6.2,195.41,286.33,3000.6
