tracker_name,dataset_name,conf,iou,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency 95 (ms),Peak VRAM (MB)
ocsort,avenue,0.2,0.5,59.74,76.58,78.3,23.0,54.0,7.0,92.7,10.78,14.46,157.3
ocsort,UCSD,0.2,0.5,41.892,43.717,56.482,20.167,10.0,15.833,82.3,12.17,17.94,524.6
ocsort,shanghai,0.2,0.5,57.133,64.61,77.07,6.667,7.333,4.667,88.6,11.3,16.73,275.8
ocsort,gmot,0.2,0.5,17.074,19.005,21.75,80.125,4.75,32.125,65.8,15.62,24.06,638.8
