tracker_name,dataset_name,conf,iou,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency 95 (ms),Peak VRAM (MB)
bytetrack,avenue,0.01,0.5,58.74,76.97,72.64,5.0,57.0,7.0,96.0,10.42,13.98,157.3
bytetrack,UCSD,0.01,0.5,45.702,46.872,62.835,4.333,10.833,14.667,89.4,11.2,15.19,524.6
bytetrack,shanghai,0.01,0.5,57.48,65.507,77.497,2.333,8.333,4.667,95.5,10.48,14.71,275.8
bytetrack,gmot,0.01,0.5,19.197,19.759,25.369,34.25,3.875,31.375,73.3,14.11,21.07,678.2
