epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5473.26,0.6051,0.3642,0.85036,0.80037,0.35754,0.38828,0.15304,3.7357,4.34396,2.24237,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6316.21,0.60198,0.36157,0.84919,0.79684,0.35843,0.38662,0.15321,3.72192,4.34221,2.22005,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7181.85,0.59948,0.36073,0.84889,0.7985,0.36018,0.38738,0.15221,3.71476,4.34937,2.21544,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8030.31,0.59688,0.35814,0.84811,0.79626,0.36112,0.38651,0.15073,3.71502,4.35221,2.20307,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8877.83,0.5971,0.35791,0.84827,0.80235,0.3541,0.38381,0.14909,3.71141,4.35348,2.21325,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9740.76,0.5936,0.35568,0.84756,0.80537,0.3487,0.3817,0.1473,3.71942,4.34944,2.23541,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10585.2,0.5932,0.35624,0.84743,0.80856,0.34606,0.38142,0.14651,3.71883,4.35439,2.23994,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11429.1,0.59099,0.35528,0.84639,0.80479,0.34575,0.38036,0.14591,3.73396,4.34896,2.26973,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12273.9,0.59061,0.3541,0.84614,0.79383,0.34905,0.37914,0.14514,3.76099,4.36319,2.31218,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13118.8,0.5876,0.35304,0.84532,0.79342,0.35319,0.38059,0.14689,3.76483,4.37043,2.32219,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,13961.6,0.58423,0.35014,0.84433,0.80315,0.34742,0.38057,0.1476,3.78149,4.36886,2.34786,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,14801.1,0.5847,0.34993,0.84505,0.80237,0.34671,0.37971,0.14695,3.78655,4.36477,2.3626,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,15643.9,0.58152,0.34891,0.84343,0.80792,0.34313,0.37816,0.146,3.78726,4.3664,2.35698,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,16486.6,0.58033,0.34813,0.84314,0.81064,0.3393,0.37643,0.14567,3.79197,4.37266,2.36186,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,17328.9,0.57828,0.34687,0.84267,0.80759,0.34021,0.37563,0.14501,3.77659,4.37329,2.34813,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,848.54,0.56435,0.33746,0.84048,0.80887,0.33696,0.37453,0.14464,3.78937,4.39088,2.36858,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1691.04,0.57287,0.34169,0.84151,0.80914,0.33598,0.37408,0.14468,3.79058,4.38848,2.38396,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2540.59,0.5733,0.34298,0.84171,0.80653,0.33407,0.37128,0.14355,3.80216,4.40396,2.41349,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3385.11,0.57162,0.34104,0.84152,0.80375,0.33354,0.37074,0.14403,3.81619,4.44126,2.43371,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4227.56,0.57083,0.3404,0.84176,0.79783,0.33533,0.37102,0.14394,3.81189,4.4489,2.42411,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
