epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7773.38,0.62867,0.35295,0.8513,0.54025,0.37682,0.36233,0.1336,3.50651,4.11811,2.33061,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8008.95,0.6305,0.3524,0.85111,0.58669,0.35999,0.36924,0.13504,3.53994,4.15501,2.3172,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8245.26,0.6249,0.34867,0.84922,0.53422,0.38516,0.37034,0.13548,3.51575,4.11371,2.29956,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8479.52,0.62055,0.34772,0.84764,0.58585,0.36582,0.37267,0.13537,3.49153,4.08825,2.24694,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8714.19,0.61982,0.34705,0.84747,0.56087,0.36442,0.36634,0.13333,3.51662,4.18733,2.24007,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8948.33,0.6166,0.34587,0.84816,0.53835,0.36257,0.36404,0.13346,3.49826,4.21466,2.25889,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9183.23,0.61585,0.34336,0.84727,0.55263,0.34942,0.35994,0.13161,3.5221,4.26021,2.30614,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9417.82,0.61045,0.34151,0.8462,0.54863,0.35511,0.35934,0.13197,3.51095,4.2025,2.32674,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9651.7,0.60794,0.3404,0.84578,0.5877,0.34699,0.36325,0.1335,3.46508,4.17409,2.3048,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9886.9,0.60524,0.33917,0.84481,0.5629,0.35338,0.36008,0.13346,3.44139,4.12437,2.28591,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10121.3,0.60107,0.3354,0.84377,0.57925,0.34373,0.35689,0.13191,3.44753,4.13038,2.28843,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10355.5,0.60055,0.33544,0.84515,0.60006,0.34358,0.361,0.13193,3.42551,4.04783,2.27607,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10591.6,0.59679,0.33341,0.84249,0.59057,0.34729,0.36059,0.13076,3.42013,4.03483,2.27183,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10825.9,0.59546,0.33234,0.84344,0.53269,0.3709,0.36414,0.13093,3.40339,4.00212,2.25792,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
